Column name,Brief description,Unit,Aggregation / interpretation
date,Berlin local calendar date represented by the daily record.,date,formatted as YYYY-MM-DD.
t2m_c_mean,Daily arithmetic mean of 2 m air temperature.,°C,Mean of valid hourly values.
t2m_c_median,Daily median of 2 m air temperature.,°C,50th percentile of valid hourly values.
t2m_c_min,Daily minimum of 2 m air temperature.,°C,Lowest valid hourly value.
t2m_c_max,Daily maximum of 2 m air temperature.,°C,Highest valid hourly value.
t2m_c_q25,Daily first quartile (Q1) of 2 m air temperature.,°C,25th percentile of valid hourly values.
t2m_c_q75,Daily third quartile (Q3) of 2 m air temperature.,°C,75th percentile of valid hourly values.
t2m_c_iqr,Daily interquartile range (Q3 ? Q1) of 2 m air temperature.,°C,Difference between the 75th and 25th percentiles.
t2m_c_std,Daily sample standard deviation of 2 m air temperature.,°C,Calculated from valid hourly values using ddof = 1.
t2m_c_se,Daily standard error of the mean of 2 m air temperature.,°C,Sample standard deviation divided by the square root of the valid-hour count.
d2m_c_mean,Daily arithmetic mean of 2 m dew-point temperature.,°C,Mean of valid hourly values.
d2m_c_median,Daily median of 2 m dew-point temperature.,°C,50th percentile of valid hourly values.
d2m_c_min,Daily minimum of 2 m dew-point temperature.,°C,Lowest valid hourly value.
d2m_c_max,Daily maximum of 2 m dew-point temperature.,°C,Highest valid hourly value.
d2m_c_q25,Daily first quartile (Q1) of 2 m dew-point temperature.,°C,25th percentile of valid hourly values.
d2m_c_q75,Daily third quartile (Q3) of 2 m dew-point temperature.,°C,75th percentile of valid hourly values.
d2m_c_iqr,Daily interquartile range (Q3 ? Q1) of 2 m dew-point temperature.,°C,Difference between the 75th and 25th percentiles.
d2m_c_std,Daily sample standard deviation of 2 m dew-point temperature.,°C,Calculated from valid hourly values using ddof = 1.
d2m_c_se,Daily standard error of the mean of 2 m dew-point temperature.,°C,Sample standard deviation divided by the square root of the valid-hour count.
relative_humidity_mean,Daily arithmetic mean of relative humidity calculated from air temperature and dew point.,%,Mean of valid hourly values.
relative_humidity_median,Daily median of relative humidity calculated from air temperature and dew point.,%,50th percentile of valid hourly values.
relative_humidity_min,Daily minimum of relative humidity calculated from air temperature and dew point.,%,Lowest valid hourly value.
relative_humidity_max,Daily maximum of relative humidity calculated from air temperature and dew point.,%,Highest valid hourly value.
relative_humidity_q25,Daily first quartile (Q1) of relative humidity calculated from air temperature and dew point.,%,25th percentile of valid hourly values.
relative_humidity_q75,Daily third quartile (Q3) of relative humidity calculated from air temperature and dew point.,%,75th percentile of valid hourly values.
relative_humidity_iqr,Daily interquartile range (Q3 ? Q1) of relative humidity calculated from air temperature and dew point.,%,Difference between the 75th and 25th percentiles.
relative_humidity_std,Daily sample standard deviation of relative humidity calculated from air temperature and dew point.,%,Calculated from valid hourly values using ddof = 1.
relative_humidity_se,Daily standard error of the mean of relative humidity calculated from air temperature and dew point.,%,Sample standard deviation divided by the square root of the valid-hour count.
sp_hpa_mean,Daily arithmetic mean of surface atmospheric pressure.,hPa,Mean of valid hourly values.
sp_hpa_median,Daily median of surface atmospheric pressure.,hPa,50th percentile of valid hourly values.
sp_hpa_min,Daily minimum of surface atmospheric pressure.,hPa,Lowest valid hourly value.
sp_hpa_max,Daily maximum of surface atmospheric pressure.,hPa,Highest valid hourly value.
sp_hpa_q25,Daily first quartile (Q1) of surface atmospheric pressure.,hPa,25th percentile of valid hourly values.
sp_hpa_q75,Daily third quartile (Q3) of surface atmospheric pressure.,hPa,75th percentile of valid hourly values.
sp_hpa_iqr,Daily interquartile range (Q3 ? Q1) of surface atmospheric pressure.,hPa,Difference between the 75th and 25th percentiles.
sp_hpa_std,Daily sample standard deviation of surface atmospheric pressure.,hPa,Calculated from valid hourly values using ddof = 1.
sp_hpa_se,Daily standard error of the mean of surface atmospheric pressure.,hPa,Sample standard deviation divided by the square root of the valid-hour count.
wind_speed_m_s_mean,Daily arithmetic mean of 10 m wind speed calculated from the u and v wind components.,m/s,Mean of valid hourly values.
wind_speed_m_s_median,Daily median of 10 m wind speed calculated from the u and v wind components.,m/s,50th percentile of valid hourly values.
wind_speed_m_s_min,Daily minimum of 10 m wind speed calculated from the u and v wind components.,m/s,Lowest valid hourly value.
